example_id,symbol,pattern,label,window_start,window_start_precision,window_end,asof_date,expected_pivot_source_date,expected_pivot_level,pivot_price_adjustment_factor,expected_depth_pct,expected_depth_tolerance_pct_points,provenance,source_name,source_reference,annotator,rationale,split
p6c2-label-0001,AVGO,ASCENDING_BASE,POSITIVE,,,,2024-03-07,,1151.82,0.1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/news/technology/broadcom-stock-avgo-stock-fiscal-q1-2024-earnings-report/,,IBD says Broadcom broke out Jan. 19 2024 from an ascending base at 1151.82; 0.1 factor aligns the later 10-for-1 split with adjusted OHLCV.,DEVELOPMENT
p6c2-label-0002,TME,ASCENDING_BASE,POSITIVE,,,,2024-03-08,,10.70,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/stock-lists/new-highs/deutsche-bank-stock-tencent-woodward/,,IBD says Tencent Music broke out of an ascending base with 10.70 buy point according to MarketSurge.,DEVELOPMENT
p6c2-label-0003,CCJ,ASCENDING_BASE,POSITIVE,,,,2025-10-10,,89.13,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/stock-lists/ibd-big-cap-20/cameco-ccj-stock-uranium-refiner-forms-rare-ascending-base/,,IBD explicitly describes three higher-high/higher-low pullbacks over the prior two months and an 89.13 ascending-base buy point.,DEVELOPMENT
p6c2-label-0004,SNOW,ASCENDING_BASE,POSITIVE,,,,2025-11-18,,255.39,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/research/software-stock-snowflake-snow-nvidia-nvda-stock/,,IBD states Snowflake broke out from an ascending base at 255.39 on Oct. 24 2025.,DEVELOPMENT
p6c2-label-0005,NAVN,ASCENDING_BASE,POSITIVE,2026-06-01,MONTH,,2026-09-04,,29.99,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/stock-lists/ibd-50/state-street-stt-stock-ibd-50-chart-pattern-base-markets-investing/,,IBD says Navan crafted an ascending base from June through August and broke out above 29.99 on Aug. 27.,DEVELOPMENT
p6c2-label-0006,META,BASE_ON_BASE,POSITIVE,,,,2024-11-11,,602.95,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/research/ibd-stock-of-the-day/meta-stock-q3-2024-results-trump-election-zuckerberg/,,IBD explicitly calls Meta's new flat base a base-on-base pattern with 602.95 buy point.,DEVELOPMENT
p6c2-label-0007,TRV,BASE_ON_BASE,POSITIVE,,,,2024-12-02,,269.56,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/dow-jones-nasdaq-sp500-trump-tariff-intel-tesla-stock/,,IBD identifies Travelers' 269.56 flat-base entry as part of a bullish base-on-base pattern.,DEVELOPMENT
p6c2-label-0008,SE,BASE_ON_BASE,POSITIVE,,,,2025-03-28,,,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/research/investing-action-plan/stock-market-investing-action-plan-payrolls-tariffs/,,IBD explicitly states Sea was holding support in a base-on-base pattern; no numeric pivot is scored because the source excerpt does not publish one.,DEVELOPMENT
p6c2-label-0009,JLL,BASE_ON_BASE,POSITIVE,,,,2025-11-24,,322.07,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/stock-lists/stocks-near-a-buy-zone/stock-market-baker-hughes-bkr-sono-jll-stock/,,IBD calls Jones Lang LaSalle's double-bottom an early-stage base-on-base pattern with 322.07 buy point.,DEVELOPMENT
p6c2-label-0010,SEI,BASE_ON_BASE,POSITIVE,2023-08-01,MONTH,,2024-11-08,,12.74,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/how-to-invest/investors-corner/stock-market-winners-take-flight-base-on-base-pattern/,,IBD uses Solaris as an explicit base-on-base-on-base teaching example; the second double-bottom had 12.74 buy point and the later breakout occurred week ended Nov. 8 2024.,DEVELOPMENT
p6c2-label-0011,MRX,ASCENDING_BASE,POSITIVE,,,,2026-09-12,,75.40,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/research/the-new-america/financial-services-leader-marex-breaks-out-past-buy-point-and-into-new-highs/,,LOCKED VALIDATION: IBD/MarketSurge explicitly identifies Marex's ascending base and 75.40 entry; source also describes the three higher-high/higher-low pullbacks.,VALIDATION
p6c2-label-0012,CAT,BASE_ON_BASE,POSITIVE,,,,2025-09-17,,441.15,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily / MarketSurge,https://www.investors.com/news/caterpillar-cat-stock-analyst-price-targets/,,LOCKED VALIDATION: IBD states Caterpillar broke out Sept. 17 2025 from a base-on-base formation at 441.15; separate IBD teaching article describes giant cup followed quickly by flat base.,VALIDATION
